,gameid,date,blue_team,blue_top,blue_jg,blue_mid,blue_adc,blue_supp,red_team,red_top,red_jg,red_mid,red_adc,red_supp,winner
318,ESPORTSTMNT04_2411473,2022-07-09 09:10:00,Nongshim RedForce,Canna,Dread,Bdd,Ghost,Effort,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Red
319,ESPORTSTMNT04_2411474,2022-07-09 11:09:00,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Red
320,ESPORTSTMNT04_2411485,2022-07-09 12:15:00,Hanwha Life Esports,DuDu,OnFleek,Karis,SamD,Vsta,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Red
321,ESPORTSTMNT04_2411510,2022-07-10 08:06:00,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
322,ESPORTSTMNT04_2411522,2022-07-10 09:13:00,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
323,ESPORTSTMNT04_2411526,2022-07-10 11:06:00,T1,Zeus,Oner,Faker,Gumayusi,Keria,Fredit BRION,Sw0rd,UmTi,Lava,Gamin,Delight,Blue
324,ESPORTSTMNT04_2411536,2022-07-10 11:58:00,Fredit BRION,Sw0rd,UmTi,Lava,Gamin,Delight,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
325,ESPORTSTMNT05_2951501,2022-07-13 08:09:16,Hanwha Life Esports,DuDu,OnFleek,Karis,Cheoni,Vsta,T1,Zeus,Oner,Faker,Gumayusi,Keria,Red
326,ESPORTSTMNT05_2951513,2022-07-13 08:47:15,Hanwha Life Esports,DuDu,OnFleek,Karis,Cheoni,Vsta,T1,Zeus,Oner,Faker,Gumayusi,Keria,Blue
327,ESPORTSTMNT05_2951542,2022-07-13 09:56:00,T1,Zeus,Oner,Faker,Gumayusi,Keria,Hanwha Life Esports,DuDu,OnFleek,Karis,Cheoni,Vsta,Blue
328,ESPORTSTMNT05_2951551,2022-07-13 11:25:55,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Blue
329,ESPORTSTMNT05_2951582,2022-07-13 12:55:00,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Gen.G,Doran,Peanut,Chovy,Ruler,Lehends,Red
330,ESPORTSTMNT05_2951924,2022-07-14 07:25:52,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Red
331,ESPORTSTMNT05_2951965,2022-07-14 08:48:50,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,Blue
332,ESPORTSTMNT05_2951988,2022-07-14 10:06:39,DRX,Kingen,Pyosik,Zeka,Deft,BeryL,KT Rolster,Rascal,Cuzz,VicLa,Aiming,Life,Red
333,ESPORTSTMNT05_2951991,2022-07-14 10:49:26,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,Blue
334,ESPORTSTMNT05_2952017,2022-07-14 12:30:29,Kwangdong Freecs,Kiin,Ellim,FATE,Teddy,Moham,DWG KIA,Nuguri,Canyon,ShowMaker,deokdam,Kellin,Red
335,ESPORTSTMNT05_2952287,2022-07-15 07:17:18,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Nongshim RedForce,Canna,Sylvie,Bdd,Ghost,Effort,Blue
336,ESPORTSTMNT05_2942187,2022-07-15 08:42:05,Nongshim RedForce,Canna,Sylvie,Bdd,Ghost,Effort,Fredit BRION,Morgan,UmTi,Lava,Hena,Delight,Red
337,ESPORTSTMNT05_2952305,2022-07-15 09:59:58,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Hanwha Life Esports,DuDu,OnFleek,Karis,Cheoni,Vsta,Blue
338,ESPORTSTMNT05_2942209,2022-07-15 11:43:28,Hanwha Life Esports,DuDu,OnFleek,Karis,Cheoni,Vsta,Liiv SANDBOX,Dove,Croco,Clozer,Prince,Kael,Red
